GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
invoice,com.invoice.rsbcurd.config,CORSFilter,0,29,0,0,0,3,0,2,0,2
invoice,com.invoice.rsbcurd.config,KafkaConfig,0,77,0,0,0,17,0,5,0,5
invoice,com.invoice.rsbcurd.config,SwaggerConfig,0,93,0,0,0,18,0,7,0,7
invoice,com.invoice.rsbcurd.config,JWTUtil,1,128,1,1,0,31,1,10,0,10
invoice,com.invoice.rsbcurd.config,PBKDF2Encoder,36,3,0,0,7,1,2,1,2,1
invoice,com.invoice.rsbcurd.config,AuthenticationManager,0,45,0,0,0,10,0,3,0,3
invoice,com.invoice.rsbcurd.config,CustomWebSecurityConfig,20,67,0,0,2,18,4,2,4,2
invoice,com.invoice.rsbcurd.config,SecurityContextRepository,8,46,0,0,2,11,1,5,1,5
invoice,com.invoice.rsbcurd.reactive.service,UserService,0,54,0,0,0,6,0,3,0,3
invoice,com.invoice.rsbcurd.reactive.controller,InvoiceRestController,0,45,0,0,0,11,0,6,0,6
invoice,com.invoice.rsbcurd.reactive.controller,AuthenticationRest,0,36,0,0,0,4,0,3,0,3
invoice,com.invoice.rsbcurd.reactive.controller,IndexController,0,17,0,0,0,5,0,3,0,3
invoice,com.invoice.rsbcurd.reactive.controller,ResourceRest,0,24,0,0,0,4,0,4,0,4
invoice,com.invoice.rsbcurd.kafka.consumer,KafkaConsumer,0,12,0,0,0,4,0,3,0,3
invoice,com.invoice.rsbcurd.kafka.producer.service,KafkaProducer,0,18,0,0,0,5,0,3,0,3
invoice,com.invoice.rsbcurd.reactive.model,Role,0,24,0,0,0,2,0,1,0,1
invoice,com.invoice.rsbcurd,InvoiceServicesApplication,0,8,0,0,0,3,0,2,0,2
invoice,com.invoice.rsbcurd.reactive.service.impl,InvoiceServiceImpl,0,50,0,0,0,11,0,7,0,7
